"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 16 19:43:56 GMT 2025","Sun Feb 16 19:43:57 GMT 2025","1466","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Sun Feb 16 19:43:20 GMT 2025","Sun Feb 16 19:43:20 GMT 2025","556","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"broken","Sun Feb 16 19:43:45 GMT 2025","Sun Feb 16 19:43:55 GMT 2025","10171","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 16 19:44:38 GMT 2025","Sun Feb 16 19:44:40 GMT 2025","2146","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Sun Feb 16 19:43:58 GMT 2025","Sun Feb 16 19:43:59 GMT 2025","1568","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 16 19:44:01 GMT 2025","Sun Feb 16 19:44:03 GMT 2025","2917","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"broken","Sun Feb 16 19:44:26 GMT 2025","Sun Feb 16 19:44:37 GMT 2025","10193","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 16 19:44:00 GMT 2025","Sun Feb 16 19:44:01 GMT 2025","642","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 16 19:43:20 GMT 2025","Sun Feb 16 19:43:23 GMT 2025","2984","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 16 19:43:19 GMT 2025","Sun Feb 16 19:43:20 GMT 2025","837","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
