"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 26 18:42:59 GMT 2025","Sun Jan 26 18:43:00 GMT 2025","553","chromium","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:43:01 GMT 2025","Sun Jan 26 18:43:04 GMT 2025","3298","firefox","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:43:10 GMT 2025","Sun Jan 26 18:43:10 GMT 2025","5","webkit","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:43:00 GMT 2025","Sun Jan 26 18:43:00 GMT 2025","545","chromium","test.spec.ts","","","","test 1",""
"failed","Sun Jan 26 18:43:08 GMT 2025","Sun Jan 26 18:43:08 GMT 2025","5","webkit","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:43:06 GMT 2025","Sun Jan 26 18:43:06 GMT 2025","600","firefox","test.spec.ts","","","","test 1",""
"passed","Sun Jan 26 18:42:59 GMT 2025","Sun Jan 26 18:42:59 GMT 2025","522","chromium","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:43:11 GMT 2025","Sun Jan 26 18:43:11 GMT 2025","5","webkit","test.spec.ts","","","","test 1",""
"passed","Sun Jan 26 18:43:05 GMT 2025","Sun Jan 26 18:43:06 GMT 2025","708","firefox","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
