"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 02 18:58:13 GMT 2025","Sun Mar 02 18:58:14 GMT 2025","441","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Mar 02 18:58:05 GMT 2025","Sun Mar 02 18:58:05 GMT 2025","168","Setup","server.setup.ts","Verify server is responsive","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Sun Mar 02 18:58:08 GMT 2025","Sun Mar 02 18:58:09 GMT 2025","608","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Sun Mar 02 18:58:13 GMT 2025","Sun Mar 02 18:58:13 GMT 2025","408","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Mar 02 18:58:07 GMT 2025","Sun Mar 02 18:58:07 GMT 2025","232","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Mar 02 18:58:14 GMT 2025","Sun Mar 02 18:58:15 GMT 2025","832","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Mar 02 18:58:05 GMT 2025","Sun Mar 02 18:58:06 GMT 2025","784","chromium","edit.funct.test.ts","Validate edit button work correctly","","","Edit user first name - no POM",""
"passed","Sun Mar 02 18:58:09 GMT 2025","Sun Mar 02 18:58:09 GMT 2025","264","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Sun Mar 02 18:58:07 GMT 2025","Sun Mar 02 18:58:08 GMT 2025","624","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Mar 02 18:58:15 GMT 2025","Sun Mar 02 18:58:16 GMT 2025","366","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Sun Mar 02 18:58:06 GMT 2025","Sun Mar 02 18:58:07 GMT 2025","520","chromium","edit.funct.test.ts","Validate edit button work correctly","","","Validate that edit button disabled with fields empty  - no POM",""
"passed","Sun Mar 02 18:58:12 GMT 2025","Sun Mar 02 18:58:13 GMT 2025","784","firefox","edit.funct.test.ts","Validate edit button work correctly","","","Validate that edit button disabled with fields empty  - no POM",""
"passed","Sun Mar 02 18:58:07 GMT 2025","Sun Mar 02 18:58:07 GMT 2025","233","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Mar 02 18:58:10 GMT 2025","Sun Mar 02 18:58:12 GMT 2025","1828","firefox","edit.funct.test.ts","Validate edit button work correctly","","","Edit user first name - no POM",""
"passed","Sun Mar 02 18:58:04 GMT 2025","Sun Mar 02 18:58:05 GMT 2025","166","Setup","server.setup.ts","Verify server is responsive","","","Ensure page ""/api/"" is responsive","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Sun Mar 02 18:58:15 GMT 2025","Sun Mar 02 18:58:15 GMT 2025","740","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
