"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 26 18:18:53 GMT 2025","Sun Jan 26 18:19:04 GMT 2025","11366","firefox","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:19:31 GMT 2025","Sun Jan 26 18:19:43 GMT 2025","11454","firefox","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:21:02 GMT 2025","Sun Jan 26 18:21:03 GMT 2025","849","webkit","test.spec.ts","","","","test 1",""
"passed","Sun Jan 26 18:18:26 GMT 2025","Sun Jan 26 18:18:27 GMT 2025","633","chromium","test.spec.ts","","","","test 1",""
"passed","Sun Jan 26 18:19:44 GMT 2025","Sun Jan 26 18:19:46 GMT 2025","1251","firefox","test.spec.ts","","","","test 1",""
"failed","Sun Jan 26 18:20:50 GMT 2025","Sun Jan 26 18:21:01 GMT 2025","11173","webkit","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:18:14 GMT 2025","Sun Jan 26 18:18:25 GMT 2025","11096","chromium","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:20:14 GMT 2025","Sun Jan 26 18:20:25 GMT 2025","11168","webkit","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:17:39 GMT 2025","Sun Jan 26 18:17:50 GMT 2025","11127","chromium","navigation.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
