"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 17 02:05:41 GMT 2025","Mon Feb 17 02:05:51 GMT 2025","10162","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Mon Feb 17 02:05:17 GMT 2025","Mon Feb 17 02:05:17 GMT 2025","490","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 17 02:05:57 GMT 2025","Mon Feb 17 02:05:59 GMT 2025","2507","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"broken","Mon Feb 17 02:06:22 GMT 2025","Mon Feb 17 02:06:32 GMT 2025","10199","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Mon Feb 17 02:06:34 GMT 2025","Mon Feb 17 02:06:36 GMT 2025","1988","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Mon Feb 17 02:05:52 GMT 2025","Mon Feb 17 02:05:54 GMT 2025","1388","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Mon Feb 17 02:05:16 GMT 2025","Mon Feb 17 02:05:17 GMT 2025","770","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 17 02:05:17 GMT 2025","Mon Feb 17 02:05:20 GMT 2025","2431","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Mon Feb 17 02:05:56 GMT 2025","Mon Feb 17 02:05:57 GMT 2025","825","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 17 02:05:54 GMT 2025","Mon Feb 17 02:05:55 GMT 2025","1296","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
