"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 09 20:42:02 GMT 2025","Sun Feb 09 20:42:03 GMT 2025","949","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 09 20:42:09 GMT 2025","Sun Feb 09 20:42:10 GMT 2025","1079","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Sun Feb 09 20:42:06 GMT 2025","Sun Feb 09 20:42:07 GMT 2025","909","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Feb 09 20:42:25 GMT 2025","Sun Feb 09 20:42:25 GMT 2025","6","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"failed","Sun Feb 09 20:42:22 GMT 2025","Sun Feb 09 20:42:22 GMT 2025","5","webkit","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 09 20:42:11 GMT 2025","Sun Feb 09 20:42:12 GMT 2025","1355","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Feb 09 20:42:21 GMT 2025","Sun Feb 09 20:42:21 GMT 2025","5","webkit","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 09 20:42:14 GMT 2025","Sun Feb 09 20:42:17 GMT 2025","3223","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 09 20:42:13 GMT 2025","Sun Feb 09 20:42:14 GMT 2025","812","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 09 20:42:17 GMT 2025","Sun Feb 09 20:42:19 GMT 2025","1469","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"failed","Sun Feb 09 20:42:24 GMT 2025","Sun Feb 09 20:42:24 GMT 2025","6","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 09 20:42:07 GMT 2025","Sun Feb 09 20:42:09 GMT 2025","2605","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
