"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 09 20:43:01 GMT 2025","Sun Feb 09 20:43:02 GMT 2025","621","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Feb 09 20:43:15 GMT 2025","Sun Feb 09 20:43:15 GMT 2025","5","webkit","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 09 20:43:12 GMT 2025","Sun Feb 09 20:43:13 GMT 2025","768","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Sun Feb 09 20:43:10 GMT 2025","Sun Feb 09 20:43:10 GMT 2025","511","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 09 20:43:08 GMT 2025","Sun Feb 09 20:43:09 GMT 2025","1283","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 09 20:43:05 GMT 2025","Sun Feb 09 20:43:06 GMT 2025","1834","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"failed","Sun Feb 09 20:43:18 GMT 2025","Sun Feb 09 20:43:18 GMT 2025","6","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 09 20:43:10 GMT 2025","Sun Feb 09 20:43:12 GMT 2025","1851","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 09 20:43:04 GMT 2025","Sun Feb 09 20:43:05 GMT 2025","421","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Feb 09 20:43:20 GMT 2025","Sun Feb 09 20:43:20 GMT 2025","5","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Sun Feb 09 20:43:06 GMT 2025","Sun Feb 09 20:43:07 GMT 2025","707","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"failed","Sun Feb 09 20:43:16 GMT 2025","Sun Feb 09 20:43:16 GMT 2025","5","webkit","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
