"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 17 02:51:27 GMT 2025","Mon Feb 17 02:51:30 GMT 2025","3388","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Mon Feb 17 02:51:08 GMT 2025","Mon Feb 17 02:51:11 GMT 2025","2644","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Mon Feb 17 02:51:11 GMT 2025","Mon Feb 17 02:51:13 GMT 2025","1671","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Mon Feb 17 02:51:16 GMT 2025","Mon Feb 17 02:51:17 GMT 2025","596","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 17 02:51:07 GMT 2025","Mon Feb 17 02:51:08 GMT 2025","744","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 17 02:51:15 GMT 2025","Mon Feb 17 02:51:16 GMT 2025","1330","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 17 02:51:13 GMT 2025","Mon Feb 17 02:51:14 GMT 2025","1593","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Mon Feb 17 02:51:17 GMT 2025","Mon Feb 17 02:51:19 GMT 2025","2361","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Mon Feb 17 02:51:30 GMT 2025","Mon Feb 17 02:51:32 GMT 2025","1281","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"passed","Mon Feb 17 02:51:08 GMT 2025","Mon Feb 17 02:51:08 GMT 2025","442","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
